,type,category,review,star
1,LG전자 시네빔 PH550,별점,"캠핑장에서 쓸 빔프로젝터 구입해볼까 결심하고 참 많은 상품 장바구니에 담아놓고 오랜 시간 고민했습니다.

다수의 분들도 마찬가지 고민을 하실 것입니다. 성능도 큰 차이 안나는거 같은데 저렴한 제품도 많은 듯하고 선뜻 결정하기가 힘들죠.

가성비 좋다는 저가형 제품들은 대부분 리뷰들이 만족스러운 후기 위주로 올라오기에 변별력이 크지 않은 것 같았습니다.

그래서 Q&A 게시판 위주로 살펴 보니 제품의 문제들이나 아쉬운 면에 대한 정보를 꽤 얻을 수 있었습니다. 1회용 제품이 아닌 전자제품을 구매하려면 역시 비용은 높아도 대기업 제품을 사는게 장기적 낫겠다는 생각이 들었습니다.

상품 포장 안전하게 꼼꼼히 잘되어 왔습니다. 추가로 구매한 필수키트도 저렴한데 3가지 필요한 품목이 있어서 만족합니다.

사진으로 보시다시피 여러 종류의 연결 단자가 있습니다. 어떤 방식으로도 연결할 수 있기에 과해서 나쁠 건 없겠죠?^^

사무실 교육장에서 임시 테스트 해봤는데 주변이 밝음에도 좋은 해상도를 보였습니다. 어두운 환경은 더할나위 없이 좋습니다.

음향 역시 따로 블루투스 스피커를 사용할 예정이지만, 사정에 따라 내장된 스피커 사운드로 영상을 감상하시는데 무리는 없어 보입니다.

더불어 캠핑장은 물론 집에서도 잘 활용할 수 있을 것 같습니다.

여튼 제품은 프로젝터 역할에 충실하고 만족스러우니 사후 관리나 내구성 때문에 고민하시는 분들은 속편하게 이 제품 구입하시는게 현명한 선택이라 생각됩니다!~",평점5
2,LG전자 시네빔 PH550,별점,"일주일동안 고민하다가 그냥 처음 입문하는 건데 너무 비싸지도 않고 그렇다고 너무 싸지도 않은 대기업 제품 사자 싶어 제일 유명한 ph550 골랐습니다. 출시년도가 좀 오래된 게 마음에 걸렸지만요.와 그런데 웬걸.. 물건 사고나서 처음 사용하는데 감동 먹은 건 처음이었습니다. 제가 전자제품을 정말 좋아하는데 뭔가 로망을 하나 달성했다는 감격이 올라오면서 눈물이 나드라구요.. 화질도 정말 좋고 잘 나오고 인터페이스도 편리하게 되어 있어서 좋고.. 저는 아이폰 유저인데 다행히 그램노트북을 갖고 있어서 호환에도 문제가 없구요..대신에 아이폰만 달랑 들고 계신 사람이라면 조금 아쉬울 수도 있겠다는 생각이 들긴 합니다. 크롬 캐스트 필요하실듯.. 블루투스 스피커 싼 거 하나 장만하셔서 (볼륨 조절 되는 걸로 사야합니다. 내장 스피커 자체가 볼륨이 작아서..) 보시면 정말 삶의 질이 올라가는거 느끼실 수 있을거에요.참고로 밑에 사진은 직접 찍은 건데 하나는 제 방 블라인드고, 하나는 천장입니다. 벽에서 블라인드까지 2m 안되구요, 천장도 그렇게 높지 않은데 정말 쨍쨍하고 잘 나옵니다.. 또 한 번 삶의 질 상승!",평점5
3,LG전자 시네빔 PH550,별점,"결혼과 동시에 해보고 싶은게 집에서 빔으로 영화 보는것인데 10년 지나서야 이루게 되었네요. .
다른제품이 나쁘다는건 아니지만 가격, 화질, 성능 그리고 믿음과 실뢰가 가는 제품이 lg제품이였습니다.
사용하시는 분들은 알겠지만 크기가 작은게 전부도 아니고 성능이 뛰어난다고 좋은건 아니라 생각됩니다. 전체적으로 고르게 좋아야 오래도록 잘 사용할수 있기 때문이라 생각되는데 그게 딱 이제품입니다.
본론으로 들어가서 많은 분들이 삼성폰은 미러링하면 중간에 버벅인다고 하셨는데 4시간 동안 저장된 동영상이 아닌 wavve로 테스트 해본 결과 한번도 버벅인적 없이 잘되었습니다.
또 블루투스로 스피커 연결하고 핸드폰은 스마트쉐어로 연결해서 사용이 가능했던게 너무 좋았습니다.
선없이 모든게 가능해서 캠핑으로도 딱입니다.
사용중 팬 소음은 조금 들리지만 영상에 집중하면서 보니 하나도 들리지 않았습니다.
고민이 많았던 저로서는 너무 만족하며 고민하시는 분들께는 이말만 드리고 싶습니다.
우리가 살려고 하는건 전자제품입니다. 언제든 말성이 생길수가 있는데 그때마다 서비스가 잘되고 가까운곳에서 받을수 있는 이 LG제품이 더 좋지 않을까 생각이 됩니다.",평점5
4,LG전자 시네빔 PH550,별점,"중국산 빔을 썼었습니다. 워낙 가격차가 커서 정말 얼마나 오래 고민했는지 몰라요. 하지만 구입하고 나니...ㅜ.ㅜ 감동입니다. 이게 빔프로젝트죠! 화면 아주 좋고요! 스크린없이 벽지나 어두운 마감의 벽에도 선명합니다. 삼각대가 매우 유용한데, 평형 맞추는 건 판판한 곳이 최곱니다! 자동으로 맞춰준다는...ㅠ그래도 삼각대가 있으면 어디나 틀 수 있어서 스크린 장소가 명확하지 않은 저에겐 삼각대도 같이 사길 잘했어요!!화면은 말할 것도 없고 음질도 이 정도면 매우 만족합니다!! 어버이날 엄마 보여드리려 고향집에 가지고 갔었는데, 그램보다 가볍고, 엄마가 너무 좋아하셔서 조만간 하나 더 구입해서 선물해드리려고요!!삶의 질이 달라지네요! 정말!!아쉬운 점이 하나 있다면... 서비스 안내 스티커가 아래 붙어있었으면...ㅜ 디자인이 너무 예쁜데 옥의 티처럼 스티커가 있더라고요.블루투스도 금세 잘 잡고, 첨부한 사진은 방에 불 켜놓고 찍은 거예요!^^",평점5
5,LG전자 시네빔 PH550,별점,"안녕하세요 영화보는걸 좋아해서 늘 티비랑 노트북을 연결해서 보았었습니다(티비43인치) 문득 집에 남는 벽(?)이 많은데 빔을 한번 구매해보자라는 생각이 들어 여러 빔을 찾아보던중 10~20만원 저렴한제품부터 고가의 제품까지 다양하더라구요 제가 고려한 조건은 영상최대사이즈는 어느정도가 나오는지, 블루투스스피커와 연결가능한지, 기타 연결 (hdmi,usb등)은 어느정도까지 가능한지 였습니다 다른 브랜드들보니 더 저렴하다 더 성능좋다 판매량많다 등등을 내세우면서 많이 홍보하더군요 그래도 lg전자라는 네이밍이있는데 활용도가 높지 않겠나싶어 질렀습니다 다른분들 리뷰보면서 영상이 생각보다 안큰데 싶었는데 왠걸 받아서 설치해보니 이건 제가 생각했던 사이즈와 딱 맞아떨어집니다 빔을 3미터 조금 넘는 거리에서 쐈는데 벽을 꽉 채우고 밤에 플레이했을시 화질과 밝기또한 기가막힙니다 (낮에볼일은없어서 낮에는 테스트하지않았습니다) 굳이 스크린이 없어도 밝은 벽에 쏘면 영화관입니다 이건 마치 내 집과 맞춤마냥 사이즈도 그냥 맞아떨어집니다 (밤이라도 티비는 까맣길래 하얀수건으로 덮어서 영화봅니다) 집이 복층이라 위에서도 한번 플레이해봣더니 깜짝 놀랐습니다 너무 좋아요,, 블루투스스피커로 연결도 간편하고 정말 이제품 구매하길 잘했습니다 동일제품을 타사이트에서 더 저렴하게 파는곳도 발견했지만 판매자님께서 친절답변해주셔서 고민없이 이곳에서 구매하였습니다 글이 너무 장황한것같은데 정말 강추합니다 왜 이제서야 구매했는지 ㅋㅋ 그리고 제품도 2020.2월 생산 제품으로 보내주셔서 좋았습니다 노트북과 티비를 연결해서 볼때는 고양이가 노트북에 올라가서 가끔 멈추고 키보드 막 눌리고 그랬는데 빔프로젝트쓰니 그런걱정두 없구요 좋은점이 너무 많은데 고민하는분들 이제품 바로구매하십시오 강추드려요 저같은 자취생들 특히 강추. 사용해보니 돈 안아깝습니다 조작도 간단하고 성능도 좋고 짱 괜히 돈아낀다고 저렴제품사서 몇번 못쓰고 as도 어려워서 고생하느니 엘지제품사서 오래오래 같이 쓰시죠 정말 강추합니다 기분좋아서 혼술 거하게 마시면서 영화 3편연달아보고 새벽4시에 잤네요 ㅋㅋ.. 조만간 blog에도 리뷰쓸겁니다 네이버검색하니 이 제품 홍보하는척하면서 다른제품끼워넣기 리뷰가 많아서 솔직하고 도움되는 리뷰 작성할려구요 삶의 질이 23배는 올라간것같습니다 잘 사용하겠습니다 감사합니다",평점5
6,LG전자 시네빔 PH550,별점,"어제 주문했는데 오늘 왔어요. 얼마나 걸리는지 문의드렸는데 빨리 와서 너무 좋습니다.
크기가 얼만큼인지 감이 안왔는데 생각보다 작았어요. 너무 귀여웠습니다.
일단 노트북과 핸드폰 무선연결해봤어요.
핸드폰은 처음에 미러링 안되서 이방법 저방법 해보다가
핸드폰 껐다가 키니까 되더라구요
노트북은 바로 되기는 하는데 일단 연결하는데 시간이 좀 걸립니다
불편한 정도는 아니예요. 초기 연결해두면 그 이후는 빠르구요.
화질, 화면크기 등 비교해보려고 노트북과 핸드폰을 해봤는데
핸드폰이 화질이나 크기면에서 노트북보다 떨어지는 느낌이었습니다...
유선으로 연결할때는 뭔가 다를지도 모르겠습니다.
침대에 누워서 볼 생각으로 맞벽에 쏴봤는데...
침대가 붙여 있는 벽면 쪽에 선반이 있으면 더 좋겠다(거의 벽면을 꽉 채움...) 생각됩니다.
어뜨케든...선반을 만들어야 하나 라는 생각까지 들고....
삼각대를 사더라도... 매트리스와 벽이 붙어있는 상태에서 ...고민중....",평점5
7,LG전자 시네빔 PH550,별점,"항상 아이들 생일이면 집에 친구들을 초대하는데, 그때마다 빔프로젝트가 있었으면 싶더라구요. 몇번이나 사용할까 싶어 고민만 하다 구매를 포기했었는데, 사놓으면 쓸 기회도 생길 것 같아서 눈딱감고 구매했습니다. 제품이 마음에 들어서 사진과 동영상까지 여러장 찍어놨는데, 위메프는 파일이 1개만 첨부가능하네요.. 아쉬운대로 불끄고 찍은 사진 한장만 업로드합니다. 제품크기는 작은 성경책(?)정도도라고 보면 됩니다. 크기도 두께도 딱 그 정도인 것 같아요. 소음은 은근히 있는 편인데 영화에 몰입하면 거슬리는 수준은 아닙니다. 다만 음성이 생각보다 작아서 별도의 스피커는 꼭 필요할 것 같아요. 집에 있는 마샬스피커로 사운드 빵빵하게 들어야겠습니다. 저처럼 계속 고민만 하시던 분들은 그냥 구매하고 자주자주 사용하시는게 정신건강에 좋을 것 같아요. 잘 사용하겠습니다. ^^",평점5
8,LG전자 시네빔 PH550,별점,저렴한 빔 기웃거리다가 대체로 평이 다 안좋아서 제대로 사보자 하며 엘쥐걸로 질렀습니다. 장점.-어두울 땐 최고다. 집에 암막 커튼 있다면 낮에도 가능-제품 크기는 생각보다 작다. 구형 IPTV 셋톱박스 만한 크기-블루투스 스피커 연결이 가능하다. 자체 싱크 조절 메뉴도 존재-리모컨이 있다.-자체 배터리가 있다.단점.-형광등 아래서 볼 정도는 아님. 잘 안보임. 안시가 높은편은 아님.-화면크기는 거리에 따라 조절가능하다 임의로 조정은 안됨.-프로젝터가 열기가 많이 나는 제품이다 보니 가까이 있으면 팬소음과 열기가 동반됨.-자체 배터리가 있지만 보조배터리는 사용 불가능하다.참고.-참고 사진은 벽지가 완전 햐얀색이아니고 살짝 천재질 같은 무늬라 화질이 안좋아 보이는 경향이 있이 나왔으나 스크린을 활용하면 더 좋은 화질을 얻을 수 있을 것 같음.,평점5
9,LG전자 시네빔 PH550,별점,"제품 수령 후 와이프와 같이 시청을 시작하는 순간. 기존의 부담 없는 가격으로 썼던 빔보다 좀 나은 수준일 것이라고 생각하며 살까 말까 고민했던 시간이 무의미해졌다.선명한 화질, 자동 키스톤 보정으로 인한 사각 스크린 유지, 컴팩트한 사이즈와 함께 오는 핸디함.자체 음향도 나에겐 무난하게 좋은 수준이었지만, 누군가에게는 기타 음향 장비가 더 필요할 수도 있을수도.하지만, 이 가격으로 이정도의 매력을 지닌 동일군 상품은 없을 것이라고 자신한다.굳이 단점이라고 한다면 다른 일반 프로젝터들과 마찬가지로 거리에 비례해서 투사 면적이 넓어짐으로 대형 스크린 사이즈에 맞추려면 어느 정도의 거리가 확보 되어야 한다.전체적으로 대단히 만족스러운 제품이다.그동안 밀린 영화와 드라마를 시청할 때가 온 거 같다.",평점5
10,LG전자 시네빔 PH550,별점,"주문하고 하루만에 받아봤습니다. 추가옵션으로 선택한 에어 프라이어가 같이 안왔길래 문의전화하니 물량이 좀 딸려 조금 기다려야 한다고 아주 친절히 설명해주신 고객센터 분 때문에 우선 기분이 좋았고, 기대 이상으로 너무 좋은 퀄리티의 화면에 또 기분이 좋았습니다. 저녁먹고 앞마당에서 집 벽을 스크린 삼아 야구관람하면서 맥주한잔 했네요. 블루투스 스피커가 하필 충전이 안되어 있어서 소리는 제대로 못 들었지만 분위기는 충분히 내어주었습니다. 자기전엔 침대 방으로 가져들어와서 천장에 틀어봤는데, 방 안에선 자체 스피커만으로도충분히 커버가 가능할 정도로 음량도 컸고, 화면도 역시 마찬가지로 만족할 만한 화질을 보여주네요. 밤에 인터넷하다가 충동구매한 제품이라 받는날 까지도 고민했었는데, 쓸데없는 걱정이었네요 ㅎㅎ. 혹시 구매 망설이시는 분들은 바로 ㅎㅎㅎ , 우선 lg 라는 브랜드가 주는 신뢰도를 무시할 순 없을거 같네요. 품질걱정없이 잘 쓸만한 제품인거 같고, 오래오래 여러장소에서 활용도 또한 좋은 빔 프로젝터인거 같습니다. 단점으로는 역시, 2w의 스피커 정도.. 그래도 요즘 왠만하면 블루투스 스피커 하나정도는 집에 구비해놓으신 분들 많을 테니까 크게 문제가 되진 않을거 같구요, 전 보통 케이블 연결해서 볼 예정이라 스마트폰 연동기능은 딱히 이용할 일이 없을거 같습니다. 밝기는 충분하지만 역시 밝은곳에선 좀 보기 에 그렇게 선명해보이진 않네요. 하지만 이정도 가격에 이만한 성능을 경험해봤으니 좀 시간이 지나면 4k용도 한번 구입해 보고 싶어집니다 ㅎㅎㅎ!",평점5
