,Unnamed: 0,type,category,star,review_
0,1,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북 말해뭐합니까    너무 예쁘고요   영롱하고요   그냥 보기만해도 힐링입니다 음질은 또 얼마나 좋은지 음악 들을때마다 고막이 힐링이에요 다만 저는 게임을 즐겨하는편이 아님에도 가끔 카트라이더가 하고싶은데 게임이 안된다는 단점만 빼면 완벽합니다 
1,2,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,딸아이가 평소 넘 갖고 싶어 하는건데  세일한다고 이 기회 놓치기 싫다고 하더군요   모아놓은 용돈이 부족하여 제가 조금 빌려줬네요  하루만에 배송된 맥북을 보고 어찌나 좋아라 하는지  다른 노트북이 있지만  이게 더 맘에 든다는군요      잘 모르는 저로써는 차이가 먼가 싶지만  좋아하는 아이얼굴을 보니 사길 잘한것 같네요
2,3,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,선물용으로 구매했는데  선물주인이 아주 행복해하네요   배송도 안전하고 신속하게 진행되었고  제조일이 구매일과 같은 달 상품이라 왠지모를 안심이 되더라구요  선물증정식 후 언박싱 했을 때 맥북에어의 영롱함   특히 스페이스그레이만의 고급짐에 감탄했어요  애플이 애플 했네요    사용하시는 분이 평소에 영상을 많이 보는데  화질 음질이 너무 좋대요  키보드의 촉감도 가볍고  무엇보다 오래 사용해도 발열이 심하지 않은 점이 제일 장점인 것 같아요  애플제품 치고 성능대비 가격이 합리적인 편인데  SSG 현대카드 혜택이 많길래 신규발급 후 기본할인에 청구할인까지 받으니 감동적인 금액에 구입할 수 있었어요  한가지 아쉬운 점은  선물용으로 구매하시는 분들이 있는 것 같은데 선물용 종이가방이 옵션으로 있으면 좋을 것 같아요  좋은제품 구매할 수 있게 해 주셔서 감사합니다  소중한 사람에게 간지와 삶의 질 향상을 동시에 전해주어 뿌듯함과 희열을 느낍니다  앞으로 나올 신제품들도 너무너무 기대되네요 
3,4,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,실버와 스페이스그레이 중 고민고민하다 결국 스그로 구매했습니다  생각지도 못했는데 배송도 정말 빨라서 좋았어요  그간 윈도 기반 랩탑만 쓰다가 처음 맥북을 구매하게 되었는데 좋은 기회에 잘 구입한 것 같아요  아직 사용법을 익혀나가느라 솔직히 구체적으로 뭐가 좋다고 기재하긴 어렵지만 기분은 정말 좋네요  잘 쓸게요  
4,5,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,저렴하게 좋은 제품 잘구한거 같습니다  이쁘고 좋네요    배송도 매우 빠르고 친절해서 좋았습니다  감사합니다 잘쓸게요   역시 맥북  이제 스타벅스 입장이 가능하겟네요    살려고 굉장히 여러군데를 꽤나 오래 알아봤는데  ssg 닷컴에서 카드 결제로 했을때가 결론적으로 제일 저렴하더군요  당근마켓이나 중고나라보다 싸니   그리고 할부도 가능하니 확실히 유리한것 같았습니다  다른 제품과 고민을 많이 했는데 후회없는 선택이었습니다  아무래도 요즘 노트북값도 굉장히 비싼데  저렴하게 잘 구매한것 같습니다  마음에 듭니다  여러분도 스팟으로 가끔 ssg닷컴에서 특가로 뜨니까 기회를 노려보세요  선물하기도 좋고  직접 쓰셔도 좋을거고  심지어 되팔이를 해도 남을 가격에 저는 구한것 같네요  그렇다고 되팔진 않고 제가 직접 쓸겁니다  다음에 이런 기회가 다시 온다면 그때는 또 구매해서 가족에게 선물하고 싶을만큼 잘 구하지 않았나 생각합니다  저렴하게 주신 애플과 ssg닷컴에 감사드리며 잘쓰도록 하겠습니다  다시 한번 감사드립니다  부족한 리뷰 잘봐주셔서 감사합니다   
5,6,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,삼성만 쓰다가 처음으로 맥북 구매했는데 이미 아이폰이나 아이패드 사용중이라 연동이 쉽게 되는 맥북 구매했어요 m1 모델이 가성비 좋다고 추천 많이 하던데 이유가 있었네요 유튜브나 블로그 보면서 금방 쉽게 입문했습니다 카드할인으로 다른곳보다 저렴하게 산듯  15인치 쓰다가 13인치로 넘어오니까 확 작아진 느낌이지만 이것도 빨리 적응되겠죠 그리고 팬이 없다고 해서 발열 걱정했는데 사용한지 2주일 정도 되는데 한번도 못느꼈어요 배터리도 오래가구요 저같이 기본 문서작업  웹서핑  등 무거운 프로그램 안쓰는 분들에게는 최고인듯   이제 앱등이 다 됐네요
6,7,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송진짜 빨라요 시키고 담날에 왔어요   딱 박스 받자마자 설렘이    애플만의 포장뜯는 재미가있어욬 딱 뜯자마자 진짜 스페이스 그레이 색상의 맥북이 두두등장했습니다윈도우쓰다가 맥북으로 넘어가서 그런지 살짝 어렵기도 하지만 트랙패드가 진짜 신세계입니다 진짜 사길 잘했습니다 사실 쿠빵이랑 위메쁘에선 품절이나서 아이폰 12pro샀던곳엔 재고가 남아있나해서 다행히 남아있더라구요 그래서 바로 flex했습니다 진짜 맥북맥북하는 이유가 있네요
7,8,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,애플의 M1 칩이 적용된 첫 에어 제품은 가성비와 성능을 겸비한 다재다능한 물건입니다  발열 적고 조용하면서 성능과 휴대성  그리고 무엇보다 중요한 건 디자인이 돋보이는 제품이다  윈도우 제품중 이만한 제품을 찾기는 어려울것 같다 
8,9,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,m1칩 걱정을 많이했지만 현재 배송받고 한달째 쓰고있는데 제가 쓰고있는 고성능 노트북보다 로딩과 스로틀링이 정말 적습니다발열같은경우에는 정말 많이 잡혔지만 장시간 사용하게되면 프로모델보단 발열이 많은건 어쩔수없네요 팬리스모델이라    하지만 소음이 거의없다고 할정도로 조용합니다 최고입니다
9,10,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송은 다음날 바로 도착했습니다아이패드랑 고민하다가  아이패드12 9가 맥북에어랑 비슷한 가격이라     구매했는데 만족스럽습니다 맥은 처음이라 고민했지만 조금만 찾아보면 금방 배울수있더라고요  단축키와 터치패드 덕분에 윈도우보다 더 편리합니다  그리고 게임하시려면 정말 간단한거 정도만 생각하셔야합니다  문명6돌리면 금방 뜨거워져요어쨌든 최고입니다 
